rating,review_title,review_description,date,location,up_votes,down_votes
5,Fabulous!,Awesome product,4 months ago,", Ahmedabad",1,0
5,Wonderful,Excellent 👌,4 months ago,", Ahmedabad",1,0
5,Worth every penny,"amazing picture quality , love you Apple .",4 months ago,", Kolkata",0,0
4,Nice product,Nice product  i am so happy😊😊😊,4 months ago,", Bengaluru",0,0
5,Highly recommended,Awesome phone,27 days ago,", Dehradun District",1,1
5,Excellent,Just awesome,5 months ago,", Kinwat",1,0
5,Classy product,best phone in this segment love for apple india,28 days ago,", Jaspur",1,0
5,Worth every penny,This is a totally monster in performance and daily usage the cons are 1. Selfie camera need to be more better 2. Ios 16 has battery drain issue hope they will fix it in next ios update(17).. conclusion if you want to upgrade to this iphone you should.,1 month ago,", Koch Bihar",1,1
5,Wonderful,Awesome phone with best camera,1 month ago,", Patna",0,1
1,Horrible,Since from the day 2 as I used to start the phone I have absorbed the heating issue and later on now after using it for 15 days I am facing a huge heat issue,1 month ago,", Kolar District",0,1
5,Awesome,What else can I say when everyone knows Apple is among the best in the Phone Market.,1 month ago,", Doom Dooma",1,1
5,Best in the market!,Super product 😍😍😍,1 month ago,", Anantapur",0,1
5,Fabulous!,Quality awesome,2 months ago,", Hardwar District",1,0
1,Absolute rubbish!,Front camra is blank after few days camra is not working,2 months ago,", Pilibhit",0,1
5,Classy product,"just amazing, Apple, what more do you expect, optimisation, speed, reliability, privacy all top notch. The only complaint would be the refresh rate, earlier i was using a 120hz screen and it is clearly visible when you move to iphone 14 but m sure it'll become a habit once you keep using it, so won't be a prob there.",3 months ago,", Bengaluru",1,1
5,Fabulous!,Beautiful great value for money,5 months ago,", Salar",1,0
5,Worth every penny,Fine,6 months ago,", Pathankot District",1,0
1,Horrible,Touch display not working properly,3 months ago,", New Delhi",9,16
1,Useless product,Back glass very low quality,2 months ago,", Sikar",2,1
5,Fabulous!,Nice,2 months ago,", Bardhaman",2,2
5,Excellent,This Product is genuine,3 months ago,", Vasai Virar",2,1
5,Terrific purchase,Awesome Product Apple Fast delivery,3 months ago,", Gwalior",2,2
5,Simply awesome,Great product much faster than iPhone 13,4 months ago,", Bachhraon",2,2
3,Nice,Awesome,4 months ago,", Noida",3,8
4,Fabulous!,Such a excellent device Superb….👍🏻👍🏻👍🏻👌,3 months ago,", New Delhi",1,1
5,Best in the market!,Best product,3 months ago,", Farrukhabad District",0,1
5,Excellent,Value of money 💰🤑💸,3 months ago,", South West Delhi",0,1
5,Excellent,Nothing will beat IPhone,3 months ago,", Bangalore",0,1
3,Decent product,Valive for money,3 months ago,", Hutti",1,1
5,Best in the market!,iPhone camera quality very wonderful,3 months ago,", Guna",1,1
5,Best in the market!,Apple is awesome ,3 months ago,", Pune",1,1
5,Worth every penny,Improved battery life in 14.,4 months ago,", Bhopal",1,1
5,Simply awesome,Satisfied purchase,4 months ago,", Ahmedabad",1,1
3,Does the job,"Best Deal with Flipkart, best Phone",5 months ago,", Tarantaran",1,1
5,Awesome,Best iphone till now,3 months ago,", Bodh Gaya",1,0
5,Super!,Wow,4 months ago,", Nalanda District",0,0
5,Just wow!,I like it,3 months ago,", Faridabad",0,0
5,Classy product,Very good and awesome Delivery is very Bad,3 months ago,", Gwalior",1,0
3,Nice,I think this time apple surely has compromised with the display quality of the base variant.,3 months ago,", Dehradun",1,0
5,Great product,Just go for it don't even think of any another brand,3 months ago,", Bhubaneswar",0,0
5,Super!,Fantastic product from apple. Was worried about delivery. Flipkart has ensured safe and tension free delivery,3 months ago,", Tirupati",1,0
4,Waste of money!,Facing heating issues while playing video and using camera,3 months ago,", New Delhi",0,0
5,Great product,Good,3 months ago,", Sunam",1,0
5,Worth every penny,The battery life is best on iPhone,3 months ago,", Pathankot",1,0
5,Super!,I ordered this in republic sale in 65k. I wasnt sure that i will get new product in good condition but there is this feature of flipkart where we can check before accept product and i got totally brand new phone. So happy with service and quality.,3 months ago,", Pune",1,0
5,Fabulous!,Superb product love it ❤️,4 months ago,", Bina",0,0
5,Fabulous!,iPhone 14 amazing phone and flip kart delivery excellent service provide,4 months ago,", Ghaziabad",1,0
5,Super!,Great phone with great features..,4 months ago,", Rishikesh",1,0
5,Super!,All is good,4 months ago,", Mumbai",1,0
5,Terrific purchase,Very good product,4 months ago,", Bengaluru",1,0
5,Wonderful,Apple always doing best,4 months ago,", New Delhi",1,0
5,Simply awesome,"Best In Segment and blue colour looking super, camera best ever and best phone ever",4 months ago,", Shahdara",1,0
5,Terrific purchase,Excellent product  loved it recommended,4 months ago,", Kannur District",1,0
5,Mind-blowing purchase,Very nice phone iPhone 14 Great !!!!!!,5 months ago,", Rudrapur",1,0
5,Excellent,i have given gift to my wife on birthday 😍 updated from iphone 7 to iphone 14 .,2 months ago,", Neyveli",1,0
4,Really Nice,Overall good delivery and quality,2 months ago,", Nandivaram Guduvancheri",1,0
3,Nice,Nice phone with great performance and battery,2 months ago,", Kalyan",1,0
5,Excellent,Great colour nuce performance,2 months ago,", Jamnagar District",1,0
3,Just okay,"Good thing is 5 years of  software updates and security updates.  If you don’t charge the phone often, this is the good phone to go for.",2 months ago,", Bengaluru",1,0
5,Simply awesome,Loved one🤌💕😍,2 months ago,", Bilaspur",0,0
5,Worth every penny,Oh !!! What a phone!!,3 months ago,", Thrissur",1,0
5,Great product,Purple colour looks more premium.,3 months ago,", Greater Noida",0,0
5,Best in the market!,Switching from mid range android phone to iOS is really a mesmerising feel.,3 months ago,", New Delhi",1,0
5,Terrific,Good camera,3 months ago,", Raipur",1,0
5,Awesome,Design superb,2 months ago,", Mumbai",1,0
5,Wonderful,very nice,2 months ago,", Mumbai",1,0
5,Super!,Excellent product and camera 💥,2 months ago,", Bengaluru",0,0
5,Terrific purchase,I love I phone🥰🥰🥰🤗🤗🤗🤗,2 months ago,", Naudhia",1,0
5,Just wow!,good,2 months ago,", Jabalpur",1,0
5,Brilliant,Superb ❤️,2 months ago,", Muzaffarpur",1,0
5,Wonderful,"We can say tha it is value for money product , great camera quality,  eye catching design.",2 months ago,", Thiruvananthapuram",0,0
5,Fabulous!,"Battery heats sometimes , and for those who are saying brightness is low there are two settings for brightness turn that on in accessibility go to display and text size and click the reduce  white point for bright display",2 months ago,", Nashik",1,0
5,Just wow!,Wonderful,2 months ago,", North West Delhi",1,0
5,Brilliant,Perfect,2 months ago,", New Delhi",1,0
5,Brilliant,Nice product,3 months ago,", Taki",1,0
5,Perfect product!,Great product! Made improvements in ultra wide camera compared to iPhone 13,3 months ago,", Bengaluru",1,0
5,Perfect product!,Fabulous,3 months ago,", Siwan",0,0
4,Value-for-money,Front Camera 3 to 4 star,3 months ago,", Kanpur",1,0
5,Excellent,Exited,3 months ago,", Rajgir",0,0
5,Highly recommended,Amazing phone iphone 14 😍😍,3 months ago,", North West Delhi",0,0
5,Great product,BEST PHONE 📱,3 months ago,", Kolkata",0,0
5,Highly recommended,Like it,3 months ago,", Yamunanagar",0,0
5,Excellent,Amazing !!! don't think twice just go for it 🍎💙,3 months ago,", Ayodhya",1,0
5,Terrific purchase,Nice...,3 months ago,", Hisar",1,0
5,Fabulous!,Low light and night photos are awesome.,1 month ago,", Prayagraj",0,0
5,Terrific,Super,1 month ago,", Kurnool",1,0
5,Worth every penny,Great camera specially auto focus top notch performance,1 month ago,", Bidar",0,0
5,Great product,Super ❤️❣️,1 month ago,", Nagaon",0,0
5,Terrific purchase,Just go for it. And starlight is lob🤍,1 month ago,", Kolhapur",0,0
5,Worth every penny,Love it 👍,1 month ago,", Anantapur District",0,0
4,Value-for-money,Pic quality is improvised.. lighter weight .. grip is better 😎🤓😎 I enjoyed it !!,1 month ago,", Bhagalpur",0,0
5,Terrific,Perfect colour... Looking at the next level with the apple symbol..,1 month ago,", Pithoragarh",0,0
5,Highly recommended,Excellent experience with iPhone. Very nice product.,1 month ago,", Farakka Barrage Township",0,0
4,Delightful,Good.,1 month ago,", Coimbatore",1,0
5,Excellent for the price and premium apple device,"All day Battery life, no heating, extreme smooth performace.",1 month ago,", Bangalore",1,0
5,Awesome,Top class!,1 month ago,", Pune",0,0
5,Fabulous!,I am writing this review after 1 week of usage and the only thing I want to say about it is excellent,1 month ago,", Meerut",0,0
5,Simply awesome,I just want say that its a amazing phone i ever used and the performances are fabulous,1 month ago,", Patna",0,0
5,Perfect product!,Awesome,1 month ago,", Faridabad",1,0
5,Worth every penny,As iT is Apple..so the name speaks....all features are superb..doesn't need each and every identification..Thanks seller ..Thanks delivery service and delivery service man for providing The product on time..🙏🙏Thanks Flipkart,1 month ago,", Adampur",0,0
5,Excellent,🤷 what are u expecting me to say? You already know Iphone is Iphone,1 month ago,", Patna",1,0
5,Must buy!,This is not my first iPhone. Have been using them for close to a decade now. Had 12 mini - battery back was an issue. Have for the iPhone 14 now. No complaints !!,1 month ago,", Kolkata",1,0
5,Must buy!,Product is superb and camera quality is excellent,2 months ago,", Amreli",0,0
5,Mind-blowing purchase,Verry nice,2 months ago,", Indore",1,0
5,Excellent,Nice li,1 month ago,", Nashik",0,0
5,Wonderful,Good,1 month ago,", Manesar",0,0
5,Nice product,Very nice product 👌👌👌,1 month ago,", Lucknow District",0,0
5,Must buy!,Good,1 month ago,", Nuh",0,0
5,Classy product,Great 👍,1 month ago,", Hyderabad",0,0
5,Simply awesome,Simply superb,1 month ago,", Bengaluru",0,0
5,Excellent,Good 14 ❤️,1 month ago,", Madurai",0,0
4,Very Good,nice cool,1 month ago,", Ganganagar District",1,0
5,Great product,Iphone14=camera+battery +processor with brand,1 month ago,", New Delhi",1,0
5,Brilliant,Best Camera quality,1 month ago,", Sikar",0,0
5,Awesome,Super,3 months ago,", Kampli",0,0
4,Worth the money,Camera is good!!,3 months ago,", Kahalgaon",0,0
5,Great product,"Best phone , thanks Flipkart to make dreams come true",3 months ago,", Lucknow",0,0
5,Awesome,Love IPhone forever,3 months ago,", New Delhi",0,0
5,Perfect product!,I just loved it and thank flipkart for fastest delivery ever,3 months ago,", Navi Mumbai",0,0
5,Classy product,product is deliver safely and original,3 months ago,", New Delhi",0,0
4,Good choice,Nice,3 months ago,", Pune District",0,0
5,Awesome,Absolutely great 👍,3 months ago,", Noida",0,0
5,Brilliant,Product was good,3 months ago,", Pune",0,0
5,Mind-blowing purchase,Better camera specially in light condition dark condition you feel apple need to work more overall design size perfect battery are more powerful if you looking for iphone should buy more the 256 gb,3 months ago,", Mumbai",0,0
5,Best in the market!,Nice,3 months ago,", Hisar",0,0
4,Really Nice,Except battery backup everything was simply fine just Apple things  hope will upgrade better battery 🔋 soon for further models,3 months ago,", Tadepalligudem",0,1
5,Mind-blowing purchase,Fantastic buy except poor battery performance for heavy user.,3 months ago,", Thane",0,0
5,Super!,Awesome phone !!!,3 months ago,", Dhanbad",0,0
5,Terrific,Amazing,3 months ago,", Rajouri",0,0
5,Wonderful,Excellent mobile,3 months ago,", Indore",0,0
5,Mind-blowing purchase,1st time switch to ios from android worth every penny,3 months ago,", Amritsar",0,0
5,Excellent,Best in performance indeed,3 months ago,", Kaithal",0,0
5,Mind-blowing purchase,Super,3 months ago,", Sirsa",0,0
5,Mind-blowing purchase,Very Nice Video(no need any gimbal)  and Photography ... Dont wait...,3 months ago,", Tiruchirappalli",0,0
5,Excellent,Awesome experience,3 months ago,", New Delhi",0,0
5,Fabulous!,Superbb phone.,3 months ago,", Bikaner",0,0
5,Great product,Ok,3 months ago,", Sangaria",0,0
5,Simply awesome,Nice product,3 months ago,", Kalyan",0,0
5,Wonderful,Alright 👍👍👍,3 months ago,", Cheema",0,0
5,Highly recommended,Good,3 months ago,", Patiala",0,0
5,Terrific purchase,Nice phone,3 months ago,", Pune",0,0
3,Nice,Very nice phone ⭐️⭐️⭐️⭐️⭐️,3 months ago,", Waghodia",0,1
5,Simply awesome,Handy phone,3 months ago,", New Delhi",0,0
5,Best in the market!,Awsm product❤️🎶,3 months ago,", Gurgaon",0,0
4,Really Nice,Very good,3 months ago,", Bangalore",0,0
5,Fabulous!,Its Awesome and smooth. Great experience 👍,3 months ago,", Saharanpur",0,0
5,Best in the market!,Nice,3 months ago,", Muzaffarnagar",0,0
4,Pretty good,All overall excellent and thank you flipkart,3 months ago,", Saharanpur",0,0
4,Worth the money,Awesome,3 months ago,", Bhagalpur",0,0
5,Mind-blowing purchase,good,3 months ago,", Rajgarh Churu District",0,0
5,Wonderful,Good,3 months ago,", Narnaund",0,0
5,Classy product,Sound quality 💯💯,3 months ago,", Patna",0,0
5,Best in the market!,Good phone,3 months ago,", New Delhi",0,0
5,Worth every penny,Excellent 👍,3 months ago,", Deoria",0,0
4,Nice product,good,3 months ago,", Kancheepuram",0,0
5,Super!,Good,3 months ago,", Surat",0,0
5,Super!,Fine,3 months ago,", Hyderabad",0,0
5,Mind-blowing purchase,"Just wow, too good",3 months ago,", Ghaziabad",0,0
5,Mind-blowing purchase,Nice phone,3 months ago,", Jaspur",0,0
5,Classy product,Amazing product for photography and videography,3 months ago,", New Delhi",0,0
5,Best in the market!,Awesome 😎,3 months ago,", Rudrapur",0,0
5,Fabulous!,Awsme phone and v beautful colour...,3 months ago,", Ghaziabad",0,0
5,Terrific purchase,Awesome phone,3 months ago,", Gurgaon",0,0
5,Just wow!,Very nice,3 months ago,", Valsad",0,0
4,Good quality product,Thanku,3 months ago,", Nashik District",0,0
5,Must buy!,Loved it..!!,3 months ago,", Moradabad",0,0
5,Perfect product!,Nice,3 months ago,", Pimpri Chinchwad",0,0
5,Perfect product!,Excellent product,3 months ago,", Kota",0,0
5,Great product,Awesome,3 months ago,", Chandigarh",0,0
5,Great product,Good and genuine product...,3 months ago,", Indi",0,0
5,Great product,Apple products are always goooddd,3 months ago,", Rupnagar",0,0
5,Great product,Nice phone!,3 months ago,", Pune",0,0
5,Terrific purchase,Happy,3 months ago,", Machilipatnam",0,0
5,Awesome,Thank you 💞,3 months ago,", Ahmedabad",0,0
5,Simply awesome,Worthy product thanks flipkart for the fast delivery,3 months ago,", Guwahati",0,0
5,Highly recommended,As expected,3 months ago,", Abdu Rahiman Nagar",0,0
5,Simply awesome,Mind blowing purchase and delivery was in time. Wanted to purchase iPhone for a long time. Finally I made it. Super happy.,3 months ago,", Bangalore",0,0
5,Must buy!,Awesome 🤩,3 months ago,", Hyderabad",0,0
5,Highly recommended,Overall nice product,3 months ago,", New Delhi",0,0
5,Wonderful,PHONE IS JUST AWESOME BUT VOLTE NOT SUPPORT,3 months ago,", Chitradurga",0,0
5,Highly recommended,Great service by Flipkart. Received the phone within 24 Hrs of order. The phone is excellent and flawless performance,3 months ago,", New Delhi",0,0
5,Great product,It's good,3 months ago,", Raniganj",0,0
4,Wonderful,received original genuine product from flipkart.,3 months ago,", Kannauj District",0,0
4,Worth the money,Superb display. Performance will meet expectations. Camera in low light could have been better.,3 months ago,", Bengaluru",0,0
5,Wonderful,Good Product,3 months ago,", Sirsa District",0,0
5,Great product,Very nice,3 months ago,", Noida",0,0
5,Great product,So far so good,3 months ago,", Bengaluru",0,0
5,Best in the market!,Unbelievable,3 months ago,", Muzaffarpur",0,0
5,Brilliant,"Awesome phone, I wish I could get it sooner.",3 months ago,", Jodhpur",0,0
5,Just wow!,good,3 months ago,", Rajkot",0,0
5,Simply awesome,Best phone I've ever purchased,3 months ago,", Jind",0,0
5,Perfect product!,Good,3 months ago,", Koraput",0,0
5,Awesome,excellent,3 months ago,", Hyderabad",0,0
5,Highly recommended,Great,3 months ago,", Bengaluru",0,0
5,Just wow!,If you love to watch videos don’t go for it ..rest everything is up to the mark . It shows you carry a newer version otherwise 13 is also good deal,2 months ago,", Kanpur",0,0
5,Classy product,Totally satisfied with the product.,3 months ago,", Faridabad",0,0
5,Simply awesome,Excellent product,3 months ago,", Alappuzha",0,0
5,Just wow!,Good,3 months ago,", Mirzapur",0,0
5,Excellent,Nice product,3 months ago,", Bhind",0,0
1,Absolute rubbish!,Battery backup is poor and I have face heating problems,3 months ago,", Mumbai",0,0
5,Excellent,Colour ossm,3 months ago,", Nagpur",0,0
5,Terrific purchase,Loved it...,3 months ago,", Rewa",0,0
5,Mind-blowing purchase,I just love it. Performance is too good. Iphone 14 is a class in itself. I was very Sketptical to buy it Online. But Thanks to Flipkart. Great Job.,3 months ago,", Durgapur",0,0
5,Perfect product!,Gud flipcart,3 months ago,", Ludhiana",0,0
5,Terrific,Outstanding purchase,2 months ago,", Kolkata",0,0
4,Good quality product,GOOD,2 months ago,", Karnal",0,0
5,Perfect product!,Super,2 months ago,", Kavali",0,0
5,Super!,Best as usual,2 months ago,", Zirakpur",0,0
5,Excellent,Miraculous,2 months ago,", Sultanpur",0,0
5,Terrific purchase,Awesome 😎,2 months ago,", Ahmedabad",0,0
5,Simply awesome,Awesome 👍😎,2 months ago,", Nadiad",0,0
5,Just wow!,Worth it,2 months ago,", Hosur",0,0
5,Terrific purchase,Very good,2 months ago,", Habra",0,0
5,Terrific purchase,To hot and sexy the Product^red,2 months ago,", Bapatla",0,1
5,Mind-blowing purchase,Nice one,2 months ago,", New Delhi",0,0
5,Worth every penny,Ian,2 months ago,", New Delhi",0,0
5,Wonderful,Vary good,2 months ago,", Lanka",0,0
5,Great product,Love it,2 months ago,", Lunglei",0,0
5,Super!,Classic,2 months ago,", Pernem",0,0
4,Very Good,Amazing,2 months ago,", Pipiganj",0,0
5,Awesome,Very good👍🏻,2 months ago,", Berhampore",0,0
5,Simply awesome,Very nice phone,2 months ago,", Gida Gorakhpur",0,0
5,Simply awesome,Best product,2 months ago,", Bhuran",0,0
5,Perfect product!,ip 14 IS super,2 months ago,", Bangalore",0,0
4,Worth the money,Good,2 months ago,", New Delhi",0,0
5,Worth every penny,As we all know apple always give us best and it is one of them really good,2 months ago,", Kharagpur",0,0
5,Highly recommended,Its definitely super good set.,2 months ago,", Ghazipur",0,0
5,Wonderful,Nice,2 months ago,", New Delhi",0,0
5,Super!,Buy it if you get it at the price of iphone 13 else just go for 13,2 months ago,", Gurgaon",0,0
5,Simply awesome,Good,2 months ago,", New Delhi",0,0
5,Terrific purchase,Excellent Product,2 months ago,", Ranchi",0,0
5,Fabulous!,Awesome,2 months ago,", Jaipur",0,0
5,Fabulous!,Very good,2 months ago,", Greater Noida",0,0
5,Terrific,Nice phone,2 months ago,", Bagasara",0,0
4,Wonderful,The smartphone is really awesome but the usb cable not satisfied,2 months ago,", Dimapur",0,0
5,Great product,Verry good,2 months ago,", Fatehpur",0,0
5,Mind-blowing purchase,Good,2 months ago,", Chittoor",0,0
5,Just wow!,Excellent good,2 months ago,", Jind",0,0
5,Wonderful,In mobile phones the iphone is always better…,2 months ago,", Chandigarh",0,0
5,Highly recommended,Excellent,2 months ago,", Shimla",0,0
4,Good choice,"Too lazy to give specs. If you are here to buy it, you probably already know why you want to buy it. So go ahead.",2 months ago,", Bengaluru",0,0
5,Mind-blowing purchase,Amazing  phone,2 months ago,", Kharagpur",0,0
5,Must buy!,Fantastic,2 months ago,", Bengaluru",0,0
5,Brilliant,Nice,2 months ago,", Warora",0,0
5,Must buy!,Very interesting and nicely designed,2 months ago,", Loni",0,1
5,Super!,Got best deal on Flipkart,2 months ago,", Ghaziabad",0,0
4,Really Nice,Nice,2 months ago,", Ateli",0,0
5,Great product,Excellent,2 months ago,", New Delhi",0,0
5,Simply awesome,Very good product,2 months ago,", Bhubaneswar",0,1
5,Mind-blowing purchase,Nice,2 months ago,", Patna",0,0
5,Awesome,All today Excellent ...,2 months ago,", Hyderabad",0,0
5,Perfect product!,good .,2 months ago,", Dehradun",0,0
5,Terrific,14,2 months ago,", Patna",0,0
5,Brilliant,product is although costly but it contains value,2 months ago,", Lucknow",0,0
4,Wonderful,Good product.,2 months ago,", Thrissur District",0,0
4,Really Nice,Just one word ,2 months ago,", Brahmabarada",0,0
5,Mind-blowing purchase,Print (“wow”),2 months ago,", Chennai",0,0
5,Classy product,Genuine apple product,2 months ago,", New Delhi",0,0
5,Terrific purchase,Very good products,2 months ago,", Hyderabad",0,0
5,Awesome,good,2 months ago,", Shikar",0,0
5,Perfect product!,Great product,2 months ago,", Raipur",0,0
5,Terrific,I am using since 1month and it’s amazing,2 months ago,", Thoothukkudi",0,0
5,Awesome,Best Product,2 months ago,", Bengaluru",0,0
5,Wonderful,Good and worth,2 months ago,", Nehtaur",0,0
5,Terrific,I love it,2 months ago,", Muradnagar",0,0
5,Mind-blowing purchase,Awesome prodcut,2 months ago,", Pune",0,0
5,Worth every penny,Best phone for use,2 months ago,", Bhiwani",0,0
5,Highly recommended,Apple has maintained its quality and if your budget is tight or you want to buy this for the person who doesn’t understand micro technology ( previous generation) then this is perfect choice.,2 months ago,", Nashik",0,0
4,Very Good,I was little bit afraid at the beginning regarding genuine product but it is actually genuine and works well,2 months ago,", Pimpri Chinchwad",0,0
5,Wonderful,Original product quality....I happy thku Flipkart,2 months ago,", Gwalior",0,0
5,Terrific,Nice,2 months ago,", Nashik",0,0
1,Useless product,Front camera not open,2 months ago,", Kangra District",0,0
1,Waste of money!,Feeling bad shifting to ios pathetic experience my Samsung f12 far bbetter,2 months ago,", Ramagundam",0,0
5,Great product,It’s a original product…..,2 months ago,", Chennai",0,0
3,Does the job,Not value for money 🤑......,2 months ago,", Patna",0,2
5,Mind-blowing purchase,Good,2 months ago,", Sangrur",0,0
5,Simply awesome,Nice phone.,2 months ago,", Barbil",0,0
5,Perfect product!,Very,2 months ago,", Purba Bardhaman District",0,0
5,Best in the market!,Nice,2 months ago,", Vadodara",0,0
5,Classy product,good,2 months ago,", New Delhi",0,0
5,Wonderful,Just shifted to iPhone from Android. Its Good.Good Battery Back Up. For normal use it's good.,2 months ago,", Berhampur",0,0
5,Mind-blowing purchase,Fantastic,2 months ago,", Ghaziabad",0,0
5,Must buy!,Good,2 months ago,", Ellenabad",0,0
4,Very Good,Ok,2 months ago,", Surat",0,0
5,Mind-blowing purchase,just amazing feeling happy to had ☺️☺️ my first iPhone,2 months ago,", Hardoi",0,0
5,Brilliant,Amazing love this phone,2 months ago,", New Delhi",0,0
5,Perfect product!,Osum product,2 months ago,", New Delhi",0,0
5,Highly recommended,Osm,2 months ago,", Bhopal",0,0
5,Terrific purchase,Best Phone,2 months ago,", New Delhi",0,0
5,Worth every penny,"Switched from bulky & heavy Android phones to lighter iOS. Good experience till now. Speaker sound us amazing. Battery performance could have been a bit more better, however full charged phone can last 24hrs at an average usage (including 4-5hrs screen time & normal calls). If you are a heavy user,then must carry power bank or charger. Else everything is good. Yes if you are switching from Android phone to iOS, you will miss auto face beautify feature of camera.",2 months ago,", Pimpri Chinchwad",0,0
5,Fabulous!,awesome phone ☺️,2 months ago,", Paschim Medinipur District",0,0
3,Good,Good phone,2 months ago,", Dharamshala",0,0
5,Classy product,nice and unique blue color,2 months ago,", Udaipur",0,0
5,Perfect product!,Simply the best phone in every aspect like camera,2 months ago,", New Delhi",0,0
5,Awesome,Nice product in every aspect,2 months ago,", Chennai",0,0
5,Simply awesome,Ty,2 months ago,", Patiala",0,0
5,Just wow!,Very nice product & good service from Flipkart !!!!!!,2 months ago,", Rudrapur",0,0
5,Highly recommended,Good,2 months ago,", Berhampur",0,0
3,Decent product,"Pros; Camera, performance, sound, security.",2 months ago,", South District",0,1
5,Super!,"Cons; Battery backup, small display, only 5x zoom camera.",2 months ago,", Noida",0,0
5,Super!,Very nice,2 months ago,", Alwar",0,0
5,Best in the market!,Masterpiece from Apple,2 months ago,", Kolkata",0,0
